State,Fellow,Project Summary,Administering Organisation,Total Project Funding,Project Duration in years
Victoria,Dr Luci Pangrazio,"This project will investigate the challenges raised by digital data for Australian schools. The use of digital technologies in schools has led to systematic data collection, which reconfigures schooling processes and interpersonal relationships and presents new risks to staff and students. Although there are laws in place to protect students' rights, there are hidden consequences to using digital technologies. This research project investigates how data collection, use and disclosure is experienced and understood in schools. It will identify the role played by intermediaries, such as tech brokers, educational authorities and professional networks. Benefits include policy recommendations, protocols and guidelines for data justice in schools.",Deakin University,"$407,500 ",3
Victoria,Dr Van Thuan Pham,"This DECRA project aims to significantly improve the performance of current state-of-the-art automated security testing approaches, enabling them to discover more security bugs in strict time constraints. The key innovation of the project is its novel way to embrace human element to leverage the ingenuity of the developers. This project will help companies improve the security and reliability of their products, thwarting cyberattacks that cost Australian business $29 billion each year. The knowledge from this project will be transferred and integrated into higher education subjects to train the next generations of software developers, who are responsible to build security-critical systems that we all rely on now and in the future.",The University of Melbourne,"$410,154 ",3
Victoria,Dr Reza Razzaghi,"This project aims to devise novel algorithms to tackle one of the longstanding and challenging problems in power networks; finding the fault location in power lines. Recent bushfire preventive technologies that have been installed in power networks make the fault location process extremely challenging and time-consuming, leaving communities without power for many hours in extreme heatwave conditions. The intended outcomes of the project are innovative algorithms that are able to pinpoint the fault location more accurately in complex networks, with many fewer measurement devices than conventional methods. This is expected to provide significant benefits for public safety and power supply reliability.",Monash University,"$410,154 ",3
Victoria,Dr Virginie Rey,"This project aims to determine how contemporary Muslim communities use museums as a medium to think about and display their collective identities in non-Muslim-majority societies. Drawing on a comparative ethnographic study of Muslim-led museums across Australia, Europe, and North America, the project expects to generate new knowledge about how Muslim communities collect, curate, and exhibit their heritage in a comparative frame. Outcomes include the first transnational study of Muslim museums and a radio documentary on the Islamic Museum of Australia. Anticipated benefits include a greater understanding of the experiences of communities in caring for their heritage and improved competency in displaying multicultural heritage in museums.",Deakin University,"$389,666 ",3
Victoria,Dr Benjamin Riordan,"This project aims to use artificial intelligence to quantify the amount of alcohol people are exposed to in digital media (e.g., social media, streaming videos) in their daily lives and the effect alcohol exposure has on alcohol use. Expected outcomes for this project include a quantification of the amount of alcohol exposure in digital media and the impact it has on drinking and a development of a protocol to test exposure. Significant benefits are expected for policy makers aiming to reduce exposure and the public wanting to avoid exposure to limit the harm of alcohol.",La Trobe University,"$454,417 ",3
Victoria,Dr Thomas Schmidt,"This project aims to develop a set of genomics-based approaches for analysing new pest invasions. By producing and analysing genomic databanks for four insect pest species, including three that have recently invaded Australia, this project expects to identify invasion origins and to track new pest incursions within Australia. The project should also provide insights into pest ecology, including movement rates and population change over time. This information can enable more efficient deployment of biosecurity resources and pave the way for genomics to be used pre-emptively to stop new invasions. This can help make genomics a go-to response to new pest invasions and position Australia at the forefront of genomics-based pest biosecurity.",The University of Melbourne,"$446,857 ",3
Victoria,Dr Ludovic Scyboz,"This project aims at improving the accuracy of parton showers, which are an essential ingredient used in the simulation of high-energy particle collisions. Parton showers generate the large set of particles produced in a collision, in an approximation of the radiation pattern of Quantum Chromodynamics. The low precision of this approximation translates into large uncertainties in critical measurements performed at particle colliders. This project will study novel ways of enhancing the precision of parton showers, and determine accurate estimates of associated uncertainties across all processes under investigation at the Large Hadron Collider. It will be of exceptional importance for the latter's high-precision, high-luminosity program.",Monash University,"$367,518 ",3
Victoria,Dr Jacob Shapiro,"This project aims to understand how fast the local energy of a wave decays when it propagates in a rough, open system. This projects will generate new knowledge in the mathematical subfields of microlocal analysis and partial differential equations by refining tools such as Carleman estimates, separation of variables, b-vector field analysis, and quasimode constructions. The expected outcome of this project is a novel and comprehensive mathematical treatment of wave propagation in systems with weaker than Lipschitz regularity. This research should provide significant benefits such as informing predictions about waves in rough systems, including the propagation of seismic waves, and lead to advances in medical and geological imaging.",The University of Melbourne,"$419,420 ",3
Victoria,Dr Ankur Singh,"Australian working age adults with social and economic disadvantage have significantly poorer oral health outcomes than those from advantaged backgrounds. This project explores how changes in social position over time, and interactions between different forms of social disadvantage, contribute to social inequalities in oral health. This project expects to improve understanding of social inequalities in oral health, and its solutions, by developing and applying analytical and simulation models. This will help identify ways to reduce the persistent social inequalities in oral health outcomes in working age adults. In doing this, it will inform policies in future that will significantly improve the well-being of Australian working age adults.",The University of Melbourne,"$431,476 ",3
Victoria,Dr Tingting Song,This project aims to develop a novel approach to the manufacture of hierarchical Ta-Ti lattice materials with a fine nanoporous Ta surface through capitalizing on the advantages of metal 3D printing and a unique post nanofabrication process. This project expects to generate new fundamental knowledge in the design and manufacture of hierarchical metal lattice materials. Expected outcomes include a new advanced manufacturing method and a new class of highly biocompatible hierarchical Ta-Ti lattice materials. The former should benefit the Australian Manufacturing Industry for the manufacture of a variety of novel metal lattice materials or products while the latter has the potential for applications as implant materials.,RMIT University,"$437,854 ",3
Victoria,Dr Kalin Stefanov,"This project aims to address the computational modelling of Auslan. The project expects to generate knowledge by creating the largest Auslan dataset, enabling further advancements in this research area. The dataset will also play an essential role in other research fields, e.g., sign linguistics. Expected outcomes include the invention of the first Auslan recogniser and generator capable of distinguishing and synthesising 1000+ signs, representing a substantial advancement towards fully automated Auslan translation. This should provide significant benefits for the Australian Deaf community, such as high-quality digital systems for education and communication, resulting in increased quality of life and inclusion in the Australian society.",Monash University,"$459,030 ",3
Victoria,Dr Perran Stott-Ross,"This project aims to predict the future distributions of local and invasive mosquito species under climate change by testing their ability to adapt to hot, cold and dry environments. The project expects to generate new knowledge by identifying traits that underpin climate change adaptation in mosquitoes. Expected outcomes of this project include an enhanced understanding of future mosquito distributions through new predictive models that incorporate adaptive changes. This should provide significant social and economic benefits, with outcomes intended to improve the management of local pest mosquitoes and prepare Australia to tackle invasive mosquito threats.",The University of Melbourne,"$460,233 ",3
Victoria,Dr Christopher Stubenrauch,"This project aims to characterise a new molecular machine, called the S-Pump. Molecular machines drive the complex biology in all cells and are an exciting area of translational research, with broad potential for industrial applications. This project expects to provide fundamental insights into how bacterial S-Pumps contribute to antimicrobial resistance and enhancing food production. Expected outcomes include new tools for molecular machine discovery and identification of ways to adapt molecular machines for biotechnological applications. This work should enhance Australia-UK ties through collaboration, provide benefits toward nanobiotechnology and economic benefits through more efficient food production.",Monash University,"$429,449 ",3
Victoria,Dr Praveena Thirunavukkarasu,"This project involves the discovery of novel lipids produced by the microbiome that play a significant role in T cell-mediated immunity. Using a combination of cutting-edge technologies such as mass spectrometry, protein crystallography, immunology and biophysics, this project will elucidate the molecular factors that govern the interaction between the identified lipids and T cells. This innovative research will provide fundamental insights into the recognition mechanism of lipids by T cells at a molecular level, thus broadening our knowledge in the field of biological sciences. The expected research outcomes will increase Australia’s international research standing in this burgeoning area of lipid-mediated T cell immunity.",Monash University,"$421,485 ",3
Victoria,Associate Professor James Trauer,"The continuing pandemic has had unprecedented effects across society. Population mobility restrictions have been effective in slowing transmission, but are only effective while in place and have dramatic adverse effects. Despite Australia’s relative success, we have lacked a clear national strategy to guide the optimal deployment of such restrictions. During this fellowship, I will use robust software development practices to develop a unified software platform that integrates semi-mechanistic, particle filter and agent-based methodologies. I will then use this platform to quantify the effects of mobility restrictions and define the optimal strategic response that should be selected based on the characteristics of a newly emerged pathogen.",Monash University,"$448,000 ",3
Victoria,Dr Luis Francisco Villalobos,"This project aims to advance the development of atom-thick nanoporous graphene molecular filters (membranes) to tackle challenging separations in the chemical industry and open new pathways to recover valuable materials from waste streams. The extreme thinness of these membranes allows them to separate molecules with a fraction of the energy typically used by commercially available technologies. The proposed electrochemical platform is expected to fabricate and operate fit-for-purpose membranes with unprecedented control. Significant new knowledge in the areas of material engineering, nanofluidics, and membranes is expected from exploiting this platform to study ion transport under confinement and make membranes for resource recovery.",The University of Melbourne,"$435,000 ",3
Victoria,Dr Joey Voermans,"Sea spray spume droplets modulate heat and moisture fluxes between the ocean and atmosphere. These fluxes are a major source of uncertainty in extreme weather forecasting models due to a lack of reliable field measurement techniques. This project aims to develop a novel measurement technique to measure sea spray and generate new knowledge on the magnitude and nature of sea spray spume production. Expected outcomes include novel tools, a baseline dataset of sea spray field observations and predictive capabilities. Providing critical information to forecast extreme weather and tropical cyclones, this research will improve accuracy of coastal weather hazard prediction providing many social and economic benefits for Australia and other nations.",The University of Melbourne,"$428,568 ",3
Victoria,Dr Hao Wang,"This project aims to generate new knowledge that will facilitate the integration of low-carbon distributed energy resources into electricity grids. This project expects to advance the theory, algorithms, and methods in the area of smart grids using innovative approaches of optimisation and data analytics. Expected outcomes of this project include novel algorithms and tools to enable the reliable integration of low-carbon distributed energy resources and unlock their value in electricity grids. This should provide significant benefits, such as affordable electricity for Australian consumers, improvements in the reliability of grids in Australia, and increased and more effective use of sustainable energy for emission reduction.",Monash University,"$439,454 ",3
Victoria,Dr Helena Yuan Wang,"This project aims to develop new strategies to design and tune the performance of multifunctional catalysts for the conversion of carbon dioxide as a sustainable feedstock for the production of valuable commodity chemicals used in the manufacture of consumer products. New insights into reaction mechanisms, and relationships between catalyst structure and performance, are expected through innovative analytical tools. Anticipated outcomes include a toolkit of catalyst design principles, underpinning the development of next-generation catalysts with superior energy efficiency, waste minimisation, and associated socioeconomic benefits, which should contribute significantly to Australian science, industry and the environment.",RMIT University,"$404,226 ",3
Victoria,Dr Stanley Cheng Xie,"This project aims to identify and validate the adenylate-forming enzymes that are susceptible to reaction-hijacking inhibition in malaria parasites. This class of enzymes can be induced to synthesise their own nucleoside sulfamate inhibitor conjugates via a novel mechanism. This project expects to provide new knowledge about the molecular basis of this novel inhibition mechanism and susceptible target enzymes in the parasites. Adenylate-forming enzymes play critical roles in a diverse range of biochemical pathways, such as protein translation and fatty acid metabolism. The project seeks to deliver a new paradigm for the design of future antiparasitic agents.",Monash University,"$374,318 ",3
Victoria,Dr Pirooz Zareie,"This proposal aims to define the key mechanisms that determine how T cells recognise and respond to foreign antigens; a critical feature that defines effective immunity. To achieve this goal, this proposal will leverage multidisciplinary collaborations and innovative methods to understand how structural and biochemical features of T cell receptor recognition influences T cell mediated immunity and development. In turn, this project will facilitate further research and development in the burgeoning field of T cell biology and advance life science research in Australia. Furthermore, as T cell biology is relevant to all vertebrates, this research will greatly benefit the conservation of threatened animal species and agriculture.",Monash University,"$470,789 ",3
Victoria,Dr Xin Zhang,"This project aims to address fundamental knowledge gaps in understanding of the molecular mechanisms of peptide hormone G protein-coupled receptor activation. This will be achieved through cryo-electron microscopy determination of the structure and dynamics of key intermediate states in activation. Novel biochemical approaches will be applied to capture these states, using as exemplar the glucagon receptor that has a broad range of pharmacological tools to facilitate isolation of distinct functional states. The knowledge gained from these studies will advance fundamental understanding of physiologically important receptor activation and efficacy, while the approaches developed will enable similar investigation of other receptor classes.",Monash University,"$457,139 ",3
Victoria,Dr Alban de Vaucorbeil,"This project performs modelling to help develop an additive metal manufacturing process that makes use of scrap as input feed. It will develop new understanding of the key physical aspects of friction stir additive manufacturing and build a new efficient yet accurate continuum thermo-mechanical model for its simulation. This technology will enable metal deposition at rates an order of magnitude greater than conventional powder additive manufacturing methods. The new computational approach will be used to create processing and design maps. The work will facilitate greater use of high metal scrap and pave the way for more robust supply chains and new business models with application in automotive, mining, aerospace and military sectors.",Deakin University,"$448,721 ",3
Western Australia,Dr Naveed Akhtar,"Explainability and Transparency are the key values for development and deployment of Artificial Intelligence (AI) in Australia’s AI Ethics Framework for industry and governments. This project aims to build new tools to make the central technology of AI - deep learning - transparent and explainable. Its expected outputs are novel theory-driven algorithms and unconventional foundational blocks for deep learning that will allow humans to clearly interpret the reasoning process of this technology, which is currently not possible. It is expected to significantly advance our knowledge in machine intelligence and perception. Due to their fundamental nature, the project outcomes are likely to benefit industry and scientific frontiers alike.",The University of Western Australia,"$437,254 ",3
Western Australia,Dr Tom Barratt,"The gig economy has fragmented working arrangements in Australia and globally, disrupting how, where and on what terms work is performed. This study will systematically interrogate the consequences for work and workers in Australia of the growth and diversification of gig work. It will use a labour geography approach to explain how workers navigate working in the gig economy in the context of their wider lives. This will extend existing research by grounding analysis in the lived experience of workers both across various segments of the gig economy and over time. The project will extend academic theory and provide guidance to policymakers as to how to harness the benefits of gig work while mitigating potential harm.",Edith Cowan University,"$375,573 ",3
Western Australia,Dr Weili Fang,This project aims to improve safety during the construction of transport assets by integrating the Internet of Things with image processing technologies to develop a digital twin framework. The developed framework will provide the construction organisations with the ability to create strategies and solutions needed to improve the safety of construction in real-time. The outcomes of this project will aid effective decision-making and thus enable the managerial actions required to eliminate workplace accidents. Improving safety performance not only augments productivity but also allows the economic and social benefits of transport infrastructure assets to be realised.,Curtin University,"$427,318 ",3
Western Australia,Dr Yong Zhi Foo,"This project will provide answers to fundamental questions in evolutionary biology while identifying diet compositions that will benefit human health and well-being. Using a longitudinal public-health database, the Raine Study, and a theoretical framework from the field of Nutritional Ecology, the project will provide new knowledge on how nutrition affects key life-history traits in humans including immune function, reproductive health, physical appearance, and healthy ageing. A systematic literature review on how diet impacts these life-history traits in animals generally, and an experimental study of the effect of diet on health and reproduction in the house mouse (a lab analog species for humans) will complement the Raine Study findings.",The University of Western Australia,"$390,295 ",3
Western Australia,Dr Marcus Korb,"This project aims to develop new iron catalysts as alternatives to the expensive and increasingly rare noble metals currently used in C-C bond forming reactions, the most important single-step in the fine-chemicals sector. This project expects to create a flexible yet robust framework by introducing a hemilabile ligand into the backbone of the iron complex to control the number of vacant coordination sites. Expected outcomes of this project are 1) iron complexes able to catalyse biaryl couplings from sustainable substrates and 2) knowledge on structure-property relationships of iron-based catalytic processes. Australia will benefit by applying its own resources and help preserving the valuable noble metals for processes relying on them.",The University of Western Australia,"$406,818 ",3
Western Australia,Dr Melissa Lee,"This project aims to study bases for permutation groups, which are the mathematical formalisation of symmetry. Bases are crucial to encoding and computing with groups in diverse areas of science. Small bases are desirable for efficiency, but can be hard to find. This project expects to combine techniques from areas of algebra and probability to determine the existence and abundance of bases. Expected outcomes of this project include new methods to address enduring open problems in the study of bases, as well as novel applications of existing techniques. This should provide significant benefits, such as creating and strengthening international collaborations, and building on Australia’s reputation as a powerhouse of finite group theory.",The University of Western Australia,"$445,754 ",3
Western Australia,Dr Nathan Lyons,"While nature and culture tend to be opposed to one another in modern philosophy, in medieval thought there are many continuities between the two domains. This project will provide the first sustained historical study of nature-culture continuities in medieval Latin philosophy and theology, examining the areas of: cognition; language; semiotics; ethics and politics; animality; ecology; metaphysics; and God. The project will fill a significant gap in medieval intellectual history, enhance Australia’s research capacity in the history of philosophy and history of theology, and demonstrate how medieval ideas can inform contemporary debates about humanity’s relationship to the natural world.",The University of Notre Dame Australia,"$410,154 ",3
Western Australia,Dr Hugo Olierook,"This project aims to investigate how the rate of volcanic volatile emissions controlled the severity of past environmental crises. Catastrophic mass extinctions and major oceanic anoxia events are principally caused by the emplacement of gigantic volcanic eruptions but the volume of magma does not correlate with environmental severity. This project couples high-precision age and volatile emission measurements to model distinct climatic perturbations over Earth’s last 540 million years. The intended outcome is to find a root cause for severity of past environmental crises, with past emission rates to be used as tools to model possible future climatic crises and provide a new fundamental understanding of Earth’s magmatic engine.",Curtin University,"$440,000 ",3
Western Australia,Dr Giorgio Poggesi,"The study of Partial Differential Equations (PDEs) is a classical and prolific field of research having a fundamental role in the development of mathematical analysis and motivated by important applications in natural and applied sciences. This project aims to obtain substantial progress in the field of PDEs. The area of mathematical research covered is extremely broad, at the confluence of analysis and geometry, and with many applications to other areas of mathematics and natural and applied sciences. The results that will be obtained will produce a significant amount of new knowledge in this extremely difficult, but rapidly growing, field, by exploiting international scientific collaborations and interdisciplinary methods.",The University of Western Australia,"$354,968 ",3
Western Australia,Dr Luke Strickland,"How do people learn to make decisions in complex work systems when assisted by automation? This project will develop computational models of human learning and decision making that explain and predict complex decisions relevant to industries such as aviation and defence. It will examine how humans learn to use automated advice, how learning affects remembering to perform planned (deferred) actions, and factors that pose a risk to learning and adaptation. The expected outcome is a significant theoretical advance in human factors and cognitive psychology, and a tool for informing work design (e.g., computer interface, task allocation) and training, with the potential to reduce human error in safety-critical workplaces.",Curtin University,"$438,560 ",3
Queensland,Dr Michael Noetel,Current DECRA Candidate,The University of Queensland,NA,NA
